nft_url;; supply;; blockchain;; sale_type;; price;; method;; duration;; specific_buyer;; quantity;; *nft_name
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525236773183815681;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #262
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402524956397718732801;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #7
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525329132160548865;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #348
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525396202369843201;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #409
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525118025928015873;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #154
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525290649253576705;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #311
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525361017997754369;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #377
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525002577207099393;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #49
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525173001509404673;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #204
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525026766462910465;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #71
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525015771346632705;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #61
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525183996625682433;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #214
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525407197486120961;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #419
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525105931300110337;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #143
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525451177951232001;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #459
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525384107741937665;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #398
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525163105904754689;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #195
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402524967392835010561;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #17
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525194991741960193;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #224
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525299445346598913;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #321
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525197190765215745;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #226
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525215882462887937;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #243
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402524994880625704961;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #42
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525176300044288001;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #207
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525076244486160385;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #116
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402524993781114077185;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #41
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525143314695454721;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #177
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525050955718721537;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #93
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525175200532660225;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #206
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525017970369888257;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #63
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525270858044276737;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #293
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525028965486166017;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #73
https://opensea.io/assets/matic/0x2953399124f0cbb46d2cbacd8a89cf0599974963/99995353970554757559721471534129028266698199001274859511402525155409323360257;; ;; Polygon;; ;; ;; ;; ;; ;; ;; Crypto Parrot #188
